"","Disease","IFN","Gender","Age","Ethnicity","Flare","Severity","SLEDAI","Years_of_disease","disease_status","Steroids","Affected_Renal","BILAG_severity","SLEDAI_class"
"MEblue",0.0638508070409917,0.0144118181482329,0.00502174219654137,0.97308093133197,0.0830193135463069,0.000961801687485852,0.00244269385714567,0.00220819134901085,0.0130418756944451,0.328932372513465,0.145509863091588,0.302342902053033,0.00296828568010746,0.00634293852009601
"MEdarkturquoise",0.00766476269012594,0.362308772715638,0.806802477514876,0.923637851996526,0.140655871471003,0.224909255995298,0.0993372579177639,0.436402398506951,0.0846028808517937,0.197064353430118,0.0731310988127607,0.437955652092761,0.000100786257054009,0.905446776911472
"MEskyblue",0.240852929207446,0.115335027046769,0.112602193433899,0.0303416598347603,0.323298167495902,0.26742757886575,0.0496895239583449,0.0987074152841419,8.78920941657984e-05,0.587044465721737,0.901701017220775,0.853624584397639,0.0637756513259972,0.0947596799945489
"MElightcyan",0.477159944603521,0.123414833945035,0.848607848984618,0.897414616450458,0.466694207315455,0.0803902731592694,0.260986601143707,0.254633670102886,7.28988836263068e-05,0.311795217591166,0.227614487598365,0.578413564130745,0.0420819104808934,0.0353518910892465
"MEmaroon",0.724202935675405,0.514284622825973,0.606824068190181,0.380627980608535,0.938922369269803,0.452881768345939,0.555405187140371,0.19202511139606,0.00990009086483442,0.340382766962534,0.46350212959841,0.623711955075285,0.0167552483819416,0.546495601081638
"MEthistle2",0.548314777205269,0.323040722432419,0.89027319803398,0.670243998899981,0.423646625866098,0.0575881298520157,0.266784787096616,0.500701315387741,0.0285842791053355,0.354052295625613,0.204730335288883,0.54697565704258,0.166587938724554,0.628709698130238
"MEsalmon4",0.627772695550806,0.24734604482932,0.837494748217702,0.750379205354385,0.357093347396359,0.365188219738152,0.306880364317343,0.489916257518378,0.551678663748675,0.336110732407137,0.22708172067827,0.449591115652929,0.11163751179566,0.615887465457682
"MEbrown2",0.701064132241658,0.494922247302567,0.783239435599574,0.850211715884117,0.53579638970787,0.476498258984423,0.411840600123926,0.272614836904855,0.00461195704583861,0.483903686054454,0.967845308110208,0.777014864527467,0.011368360054965,0.487876445308831
"MElightsteelblue1",0.163147676594902,0.936026242008697,0.778070664562372,0.454842022823418,0.201416214753618,0.312634345825554,0.277357252737178,0.233307980819776,0.0151246212904838,0.873944538729157,0.0092237287229977,0.181309809487663,0.981597159795979,0.10322055940167
"MEivory",0.441953974320978,0.175192861281913,0.715433610338066,0.643876751287077,0.27651007048427,0.233864936910953,0.966640551704134,0.86033555432059,0.00101725450346717,0.470205986866532,0.134083100761937,0.478977375777573,0.153756009771168,0.790691550547674
"MElavenderblush3",0.689603657953509,0.0754821856163783,0.840841119707529,0.453689998450672,0.454698295533217,0.793216752355702,0.934889708882913,0.763142879748163,0.069146234751868,0.593505617311862,0.986516560393072,0.0959173590649723,0.0583198179287793,0.880539825127418
"MEmediumpurple2",0.237088598766443,0.929144610261251,0.568897079797772,0.72508349367508,0.331610621261629,0.443896800994539,0.308810120659788,0.840165401111356,0.0133999689818748,0.541586454074605,0.280694671174333,0.0163039744093078,0.158251210327317,0.339725329114208
"MEmediumpurple3",0.129824834031492,0.868311400821716,0.889613934043745,0.105956219351888,0.144973140503303,0.00387740346008052,0.28512497200911,0.011273806792571,0.927948967070404,0.821931099458773,0.511583701174131,0.889293192110303,0.000258130164082414,0.0623859426286849
"MEroyalblue",0.108544881445395,0.915046689347565,0.691058474662147,0.504387420811502,0.474977353070815,0.817960169311525,0.189714948379975,0.906737044361171,6.50782511817938e-05,0.572871789364299,0.595344292217783,0.483886532154474,0.00154194244333341,0.56537496877498
"MEsienna3",0.0211360481636787,0.375465782714209,0.409187009156905,0.371665055765095,0.531239544157704,0.873746374181397,0.0391173960582052,0.554950677848918,0.166838930480466,0.728399258139172,0.870828556718704,0.809236056288111,0.625669553624457,0.888411226848308
"MEmediumorchid",0.488914442599387,0.971365298843083,0.674357204317207,0.798842713445777,0.911512734505187,0.913544831691885,0.521544723462308,0.618713264778588,0.159811870574197,0.987025037141482,0.741848337075875,0.208661179424808,0.873408441890757,0.645186823937234
"MEdarkred",0.273937745736375,0.62311496655778,0.963015948084215,0.175371710627498,0.335924112691106,0.733915963646493,0.40872477187276,0.780979482739455,0.15066537298389,0.318846503304652,0.168930659831792,0.00179953146317593,2.10088943233777e-05,0.546043914672867
"MEmidnightblue",0.637508402751955,0.167696476500424,0.753778353172213,0.769657711677292,0.249045054479165,0.312361773181949,0.81967828111417,0.223510037832786,0.00632328319413234,0.0597089320766188,0.305516937107506,0.0080442169913127,4.34557442423045e-06,0.213241205746811
"MEsaddlebrown",0.135619837722444,0.566857389657283,0.837098676996678,0.294240528765238,0.27772113865011,0.46058511211663,0.160408908237512,0.724848237922325,0.000154345782006269,0.225456539664997,0.561063293248923,0.000616901031266505,5.94193604869686e-05,0.511439096904573
"MEnavajowhite2",0.227531057442198,0.934445099210086,0.753592899281906,0.0209854075178492,0.614631144809641,0.393418448672166,0.549475793117281,0.621563858589409,0.000700925435622578,0.678352399257751,0.61807115139001,0.006876098540596,1.43165883468017e-06,0.736664500934213
"MEyellow",0.000292490936548846,0.787682769545551,0.789444050792518,0.109898972430942,0.201414302478556,0.300188417714274,0.00841679190847074,0.758560117996771,0.687397225047177,0.0471299604309895,0.683997314907321,0.00857753614894843,8.38154781247584e-09,0.808936602395132
"MEdarkolivegreen",0.115725115567233,0.0328362262431529,0.252316882902215,0.471953334277502,0.357014461887038,0.0231509188361567,0.0171320749346002,0.0214459405081745,0.211990942322159,0.020039025863302,0.550387435497187,0.41577387700813,0.821746891917619,0.0228907304984809
"MEdarkorange2",0.163392295268299,0.973817895933481,0.712943432856629,0.378047267404926,0.997853901202414,0.979366410944728,0.171413824823467,0.857070962898553,0.0403598816135449,0.314271116379816,0.900131173456728,0.987500584057522,0.1375941180172,0.726451235078185
"MEcoral2",0.00141531884145886,0.455033945784724,0.596778423406979,0.265789712161264,0.133437047069934,0.632059995815733,0.0356452070971581,0.515060419433789,0.0186567753351606,0.664398194770794,0.127423209353252,0.135000392489878,0.00158641877073375,0.956426218724217
"MEdarkgreen",0.0674824052986429,0.742098159948838,0.728384426431834,0.536450598153825,0.459469785245166,0.206879657348168,0.150149905156106,0.748407587358375,0.442163880171428,0.539329420708021,0.429383387686136,0.624786055478801,0.369843476342503,0.907512158893374
"MElightpink4",0.0346971274577109,0.20533742097416,0.241902880920639,0.678352799584407,0.228589715729269,0.0667340523417585,0.0745921025041612,0.954895969029953,0.0766841072053279,0.314543221543484,0.506389989620342,0.398004645425329,0.509310462790545,0.583907285433466
"MElightcoral",0.0178934621205601,0.00710387376082822,0.0826120536522177,0.462719178210967,0.106030405250988,0.781411737174299,0.0122235232163326,0.157174626453108,0.743605692047864,0.451794383886387,0.18589253918535,0.0730887002977039,0.741414588733453,0.0526720352180596
"MEorangered4",0.00203084298765335,0.0181602668452453,0.0154450196232343,0.926369365282689,0.466486103837346,0.773422508494949,0.00626166492910804,0.517473942957099,0.224320534303154,0.813570275778543,0.128120278402475,0.0262649290238964,0.278219763840359,0.640730196044001
"MEantiquewhite4",0.0554428605444984,0.551745719427099,0.317026280141403,0.493493779984464,0.818578772776599,0.391885014133992,0.141175164189043,0.724976994449381,0.550597536174513,0.183717549552014,0.320160399826015,0.0133121657773954,0.000399963394583399,0.594764881134497
"MEskyblue3",0.17021339412193,0.934011239931581,0.705140550716922,0.393940268239827,0.254155204258767,0.0424194536804975,0.312495827378435,0.198357621222254,0.0421156245798766,0.505322557440877,0.123140922383105,0.0370146084998897,0.194695892938824,0.556985653341849
"MEmagenta",0.0686463210427855,0.567378745891251,0.113492549411958,0.538894526489583,0.0384937739957432,0.135647504016095,0.309666054949761,0.303913027204119,0.234094021199005,0.675675014551398,0.0381036730836308,0.0392668637180563,0.484858113081489,0.672955719678616
"MEred",0.858588237493704,0.25978144625914,0.540488046232351,0.563692885898599,0.211149910226393,0.101064970149643,0.119995522949827,0.00931454393442011,0.0119069294074741,0.441301903249729,0.110359588421024,0.277121758482151,0.995577426512226,0.0614248148616273
"MElightyellow",0.633138713241819,0.0149877518534468,0.0111801367825578,0.233791188147178,0.742715839846508,0.0147272145801216,0.01355394094952,9.28925663577056e-05,0.437654967003532,0.130361520216254,0.941637545817869,0.14980518538835,0.110200442181946,0.0134148531994171
"MEturquoise",0.021408896054805,0.328021819743044,0.374783831628805,0.16805725057552,0.55493043013295,0.284698839185026,0.228274779169944,0.0785630651429211,0.0306752294752669,0.462366223143165,0.959697084348379,0.0123768276122172,0.0600083177710916,0.441054179833815
"MEyellow4",0.684959097420771,0.269835403671408,0.243400507596771,0.60886548000432,0.563840088828996,0.211517464485911,0.578288768366993,0.0466818715106301,0.00178359695428752,0.669210672083861,0.303398193967012,0.295770920724491,0.219965160491005,0.169695483258179
"MElightcyan1",0.20886451833055,0.958999277496031,0.490056795140403,0.697328918419508,0.508738743730492,0.512995823418128,0.284723260914053,0.59687685353058,0.75475158392281,0.994359656269579,0.0997652907456707,0.000230998789568916,8.30205473749488e-06,0.699878247777898
"MEskyblue2",0.566779604564347,0.276870660721279,0.604141293674756,0.31385621983081,0.257198616801885,0.103499266517769,0.414458806000415,0.552894953772966,0.687117715276149,0.696044028380803,0.439358545626281,0.334618301747541,0.0379150625695182,0.201131151004217
"MEwhite",0.374374453868535,0.313548750334262,0.833490618893633,0.881567872651622,0.557189901650252,0.0440998372287953,0.793214794759167,0.674032624326983,0.129970831510315,0.282748270414218,0.143360862356475,0.613617178111329,2.59841953681466e-05,0.303505934663098
"MEgrey",0.0275864541767989,0.69170222640827,0.219992524078044,0.464282495783713,0.955172443215852,0.276051988021597,0.0252812500180291,0.162884429615684,0.00189555250761833,0.99375651852589,0.625748511940985,0.423854269100967,0.941368799788244,0.0512421423053887
