Number,gene_id,gene_symbol,posColors,negColors,K1,K2,DiffK,ttest,gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
14919,TNPO3,TNPO3,green,blue,0.202288833,0.053281839,0.149006994,-0.351369906,TNPO3,415.5176630452,0.0405168580073479,0.0443120161978399,0.115834151375662,0.349783354271295,0.726501292248656,0.926113583127429
14920,TNRC18,TNRC18,grey,grey,0.113224554,0.036424698,0.076799856,0.126053239,TNRC18,92.5835631502567,0.0546122492794303,0.0622494993606749,0.135851726571803,0.40199893411414,0.687684810713396,0.911509939509778
14927,TOB2,TOB2,grey,turquoise,0.102311304,0.069912454,0.032398849,0.180421027,TOB2,349.240079184408,-0.0307089306323864,-0.0342514980266393,0.126048929348508,-0.243627064435275,0.807519665370709,0.951430955328573
14933,TOMM20,TOMM20,grey,magenta,0.069554679,0.027763724,0.041790955,2.680190359,TOMM20,600.256502516759,-0.227280293160284,-0.237845910752535,0.0852759893736137,-2.6652319700979,0.00769352331980594,0.0908027327869569
14934,TOMM20P1,TOMM20P1,grey,grey,0.126906215,0.018865726,0.108040489,1.030062073,TOMM20P1,7.51504320928145,-0.163461930389987,-0.190276618413099,0.144009338088618,-1.13507868697653,0.25634235064915,0.660736586675073
14935,TOMM20P4,TOMM20P4,grey,grey,0.062651937,0.036213633,0.026438304,1.855511704,TOMM20P4,9.99305639725663,-0.21933819556283,-0.245425110696151,0.127678250386054,-1.71789787923651,0.0858152437342603,0.407328569374178
14938,TOMM40,TOMM40,grey,turquoise,0.255276594,0.172201738,0.083074856,1.804464767,TOMM40,588.063212239433,-0.17432039779048,-0.18392324041363,0.0920728017305566,-1.89328872928852,0.0583194831755711,0.331776008518438
14939,TOMM40L,TOMM40L,grey,darkgrey,0.089434416,0.083050801,0.006383615,-0.505217791,TOMM40L,104.590311429875,0.0873396263158441,0.110604694929583,0.168719329775528,0.517662240787968,0.604693947541365,0.883694786072609
14940,TOMM5,TOMM5,grey,green,0.185738331,0.041529192,0.144209138,1.69737413,TOMM5,59.1799911764335,-0.136304514508225,-0.144354067060676,0.0949921783286565,-1.43490250362124,0.151314882181818,0.52744209619794
14946,TOP1MT,TOP1MT,green,turquoise,0.096888122,0.055927283,0.04096084,0.522902105,TOP1MT,130.414761076185,-0.0780683750473918,-0.0974848017176532,0.165297389738005,-0.472290428609488,0.636719501261416,0.895432865114791
